feature,importance_gain,importance_split
Src Port,43879891.42064655,4026
Dst Port,3609254.6670674086,906
Idle Max,1032377.8199887276,1249
Fwd Header Len,881062.4120048285,391
Init Bwd Win Byts,536000.4507880211,602
Init Fwd Win Byts,183253.1782001257,699
Fwd Pkt Len Mean,163335.52033388615,233
Idle Mean,132996.80925405025,1407
Bwd Header Len,54373.47489309311,83
Pkt Len Min,46435.23135757446,284
TotLen Fwd Pkts,35731.627762556076,215
Bwd IAT Max,30685.58361327648,207
Bwd Pkt Len Min,29473.541509747505,362
Subflow Fwd Byts,29152.330700039864,200
Fwd Seg Size Min,20211.642313361168,301
Flow IAT Std,18090.690038204193,278
Flow Byts/s,13840.792238473892,429
SYN Flag Cnt,12849.155401349068,70
Bwd Pkt Len Std,12584.87009215355,242
Bwd Pkt Len Max,12262.7432243824,102
TotLen Bwd Pkts,11489.199409604073,202
Bwd Pkts/s,10733.058984041214,403
Fwd Act Data Pkts,9335.96765255928,29
Fwd Pkt Len Max,8329.287755966187,170
Flow IAT Min,7689.974625945091,563
Bwd Pkt Len Mean,7323.487127780914,226
Subflow Bwd Byts,5424.746845006943,169
Idle Min,4673.020845413208,136
Fwd IAT Min,4622.074966788292,575
ACK Flag Cnt,3867.8112481832504,89
Fwd IAT Tot,3801.737069606781,230
Flow IAT Mean,3538.8039195537567,218
Pkt Len Mean,3393.060992360115,162
Flow IAT Max,3310.8288851976395,340
Bwd IAT Min,3157.843175172806,448
Idle Std,3138.3624629974365,35
Fwd IAT Std,3115.489017367363,178
FIN Flag Cnt,3061.1143810749054,47
Fwd Pkt Len Min,2734.597707271576,97
RST Flag Cnt,2568.102207183838,132
Pkt Len Std,2522.815688610077,189
Tot Bwd Pkts,2457.6485493183136,60
Tot Fwd Pkts,2435.322837471962,59
Fwd Pkt Len Std,2381.5652910470963,282
Bwd IAT Mean,2291.5858566761017,199
Bwd Blk Rate Avg,2282.879174232483,281
Bwd IAT Tot,2210.0718297958374,215
Flow Duration,2147.7773475646973,213
Pkt Len Max,1806.6895725727081,71
Fwd IAT Max,1735.7838516235352,219
Fwd IAT Mean,1732.4035761356354,193
Bwd IAT Std,1636.9730997085571,163
Pkt Size Avg,1470.6641441583633,171
Flow Pkts/s,1242.729476094246,138
Fwd Pkts/s,1206.0013273954391,141
PSH Flag Cnt,890.0517947673798,23
Protocol,367.8673052787781,22
Bwd Byts/b Avg,316.599441409111,37
Pkt Len Var,269.6224184036255,15
Active Mean,209.1705813407898,29
Bwd Pkts/b Avg,201.09057307243347,10
Active Min,186.79573917388916,32
Fwd Seg Size Avg,170.56205034255981,14
Down/Up Ratio,147.5391298532486,22
Active Max,115.68697965145111,21
Fwd PSH Flags,89.11449098587036,23
Bwd Seg Size Avg,86.38861012458801,14
Subflow Fwd Pkts,18.821199417114258,1
Active Std,16.553499221801758,1
Bwd URG Flags,0.0,0
Bwd PSH Flags,0.0,0
Fwd URG Flags,0.0,0
Fwd Pkts/b Avg,0.0,0
Fwd Blk Rate Avg,0.0,0
CWE Flag Count,0.0,0
ECE Flag Cnt,0.0,0
URG Flag Cnt,0.0,0
Fwd Byts/b Avg,0.0,0
Subflow Bwd Pkts,0.0,0
